input,output,,,,,,,,,,,,,
Things feel heavy,That sounds overwhelming. Let’s work through it together.,,,,,,,,,,,,,
Can I ask you something?,Of course! What’s on your mind?,,,,,,,,,,,,,
Can I ask you something?,"Absolutely, feel free to ask anything.",,,,,,,,,,,,,
Can I ask you something?,"Of course, I’m here to listen. What’s up?",,,,,,,,,,,,,
Can I ask you something?,"You can ask me anything, I’m all ears.",,,,,,,,,,,,,
Can I ask you something?,"Definitely, ask away. I’m here for you.",,,,,,,,,,,,,
Can I ask you something?,"Yes, go ahead. I’m ready to help however I can.",,,,,,,,,,,,,
Can I ask you something?,Absolutely! What’s on your mind?,,,,,,,,,,,,,
Can I ask you something?,"Of course, ask me anything. I’ve got you.",,,,,,,,,,,,,
Can I ask you something?,Sure thing! What would you like to ask?,,,,,,,,,,,,,
Can I ask you something?,"Go ahead, I’m here for whatever you need.",,,,,,,,,,,,,
I’m struggling,I’m really sorry you’re feeling this way. Want to talk about what’s going on?,,,,,,,,,,,,,
I’m struggling,That sounds tough. You don’t have to go through it alone—let’s talk it through.,,,,,,,,,,,,,
I’m struggling,I hear you. It’s okay to struggle sometimes. I’m here to listen,,,,,,,,,,,,,
I’m struggling,I’m sorry you’re going through this. What’s making it feel so hard?,,,,,,,,,,,,,
I’m struggling,You’re not alone in this. Let’s work through it together.,,,,,,,,,,,,,
I’m struggling,It’s okay to be struggling. Let me know how I can support you.,,,,,,,,,,,,,
I’m struggling,I can imagine it’s overwhelming. What’s been weighing you down?,,,,,,,,,,,,,
I’m struggling,"I’m here for you, and we’ll get through this together. Want to share what’s on your mind?",,,,,,,,,,,,,
I’m struggling,"I know it’s tough right now, but you don’t have to carry it alone. Let’s figure this out together",,,,,,,,,,,,,
I’m struggling,"Struggling is part of life, but I’m here to help you through it. What’s been the hardest part for you?",,,,,,,,,,,,,
Just need to talk,"I’m here for you. Let’s talk it out, whenever you’re ready.",,,,,,,,,,,,,
Just need to talk,Of course! I’m all ears—what’s been on your mind?,,,,,,,,,,,,,
Just need to talk,You’ve got my full attention. What do you want to talk about?,,,,,,,,,,,,,
Just need to talk,"I’m here for you. Take your time, and we’ll talk through it.",,,,,,,,,,,,,
Just need to talk,I’ve got your back. Let’s talk through whatever’s on your mind.,,,,,,,,,,,,,
Just need to talk,I’m listening. What’s going on? Let’s talk it through,,,,,,,,,,,,,
Just need to talk,"No rush, just talk to me when you’re ready. I’m here for you.",,,,,,,,,,,,,
Just need to talk,"I’m here, and I’m ready to listen. Talk to me about whatever’s bothering you.",,,,,,,,,,,,,
Just need to talk,"Sometimes it just helps to talk. I’m here for you, whenever you need.",,,,,,,,,,,,,
Just need to talk,"Take your time, and just say whatever’s on your mind. I’m here to listen.",,,,,,,,,,,,,
I feel lost,I’m really sorry you’re feeling that way. Want to talk about what’s making you feel lost?,,,,,,,,,,,,,
I feel lost,It’s okay to feel lost sometimes. Let’s figure it out together.,,,,,,,,,,,,,
I feel lost,I’m here for you. What’s making things feel unclear right now?,,,,,,,,,,,,,
I feel lost,"Feeling lost can be tough, but you’re not alone. We’ll figure it out step by step.",,,,,,,,,,,,,
I feel lost,I hear you. It’s okay to not have all the answers right now. Let’s take it one piece at a time.,,,,,,,,,,,,,
I feel lost,I’m here for you. Let’s talk it through and see if we can find some direction.,,,,,,,,,,,,,
I feel lost,"I know it feels overwhelming right now, but we can work through it together.",,,,,,,,,,,,,
I feel lost,Feeling lost is tough. Want to share what’s on your mind? We’ll take it slow.,,,,,,,,,,,,,
I feel lost,It’s okay to not know exactly what’s going on. I’m here to listen and help however I can.,,,,,,,,,,,,,
I feel lost,I’m sorry you’re feeling this way. Let’s talk it out and see where we can go from here.,,,,,,,,,,,,,
I’m not okay,I’m sorry to hear that. I’m here for you—want to talk about it?,,,,,,,,,,,,,
I’m not okay,It’s okay to not be okay. Let’s work through this together.,,,,,,,,,,,,,
I’m not okay,"I hear you, and I’m here for you. What’s been going on?",,,,,,,,,,,,,
I’m not okay,I’m sorry you’re feeling this way. I’m here to listen whenever you’re ready.,,,,,,,,,,,,,
I’m not okay,That’s tough to feel. You’re not alone—how can I support you?,,,,,,,,,,,,,
I’m not okay,It’s okay to admit that. Let’s talk about what’s making you feel this way.,,,,,,,,,,,,,
I’m not okay,"I’m here for you, no matter what. Start wherever you feel comfortable.",,,,,,,,,,,,,
I’m not okay,I’m really sorry to hear that. Let’s take it one step at a time together.,,,,,,,,,,,,,
I’m not okay,"I’m here, and you don’t have to go through this alone. What’s been weighing on you?",,,,,,,,,,,,,
I’m not okay,Thanks for sharing that with me. Let’s talk it through—what’s been on your mind?,,,,,,,,,,,,,
I need advice,"Of course! Tell me what’s on your mind, and I’ll do my best to help.",,,,,,,,,,,,,
I need advice,"Absolutely. Let me know what you’re dealing with, and we’ll figure it out together.",,,,,,,,,,,,,
I need advice,I’m here for you. What do you need advice on?,,,,,,,,,,,,,
I need advice,You’ve got it—what’s the situation? I’ll help however I can.,,,,,,,,,,,,,
I need advice,Sure thing! Let’s talk it through and find a way forward.,,,,,,,,,,,,,
I need advice,"Of course, I’m here to help. What’s been going on?",,,,,,,,,,,,,
I need advice,I’ve got you—what’s on your mind? Let’s work it out.,,,,,,,,,,,,,
I need advice,"Absolutely, let me know what you’re thinking, and we’ll tackle it together.",,,,,,,,,,,,,
I need advice,"Of course, I’ll do my best to give you the advice you need. What’s up?",,,,,,,,,,,,,
I need advice,I’m here to listen and help however I can. What’s been bothering you?,,,,,,,,,,,,,
Things aren’t great,I’m really sorry to hear that. Want to talk about what’s going on?,,,,,,,,,,,,,
Things aren’t great,That sounds rough. I’m here to listen whenever you’re ready.,,,,,,,,,,,,,
Things aren’t great,I’m sorry things are tough right now. Let’s talk it out—what’s been happening?,,,,,,,,,,,,,
Things aren’t great,I hear you. It’s okay to not feel great. Let me know how I can help.,,,,,,,,,,,,,
Things aren’t great,That’s hard to go through. You don’t have to face it alone—let’s figure it out together.,,,,,,,,,,,,,
Things aren’t great,I’m sorry things feel this way. Want to share what’s been making it tough?,,,,,,,,,,,,,
Things aren’t great,It’s okay to feel that way sometimes. I’m here to support you.,,,,,,,,,,,,,
Things aren’t great,I’m sorry it’s been a struggle. Let’s take it one step at a time together.,,,,,,,,,,,,,
Things aren’t great,Thanks for sharing that with me. Let’s talk about what’s been weighing you down.,,,,,,,,,,,,,
Things aren’t great,I’m here for you. What’s been on your mind? Let’s work through it.,,,,,,,,,,,,,
I could use help,"Of course, I’m here for you. What do you need help with?",,,,,,,,,,,,,
I could use help,"You’ve got it. Let me know what’s going on, and I’ll do my best to help.",,,,,,,,,,,,,
I could use help,I’m here to help in any way I can. What’s been on your mind?,,,,,,,,,,,,,
I could use help,"Absolutely, let’s tackle this together. What do you need?",,,,,,,,,,,,,
I could use help,I’m here for you—just tell me where to start.,,,,,,,,,,,,,
I could use help,"Of course, you don’t have to do this alone. Let’s figure it out together.",,,,,,,,,,,,,
I could use help,I’m ready to help. What’s going on?,,,,,,,,,,,,,
I could use help,You’ve got my support. Let’s talk about what you need.,,,,,,,,,,,,,
I could use help,I’m here to listen and help. Let me know what’s been troubling you.,,,,,,,,,,,,,
I could use help,"Absolutely. Tell me what’s on your mind, and we’ll get through this together.",,,,,,,,,,,,,
I'm feeling stuck,I’m sorry you’re feeling this way. Want to talk about what’s making you feel stuck?,,,,,,,,,,,,,
I'm feeling stuck,That’s a tough place to be. Let’s work through it together.,,,,,,,,,,,,,
I'm feeling stuck,I hear you. What’s been making you feel stuck? Maybe we can figure it out.,,,,,,,,,,,,,
I'm feeling stuck,It’s okay to feel that way sometimes. Let’s take a step back and figure out what’s next.,,,,,,,,,,,,,
I'm feeling stuck,I’m here for you. Want to share what’s making you feel this way?,,,,,,,,,,,,,
I'm feeling stuck,Feeling stuck can be so frustrating. Let’s break it down and see if we can find a way forward.,,,,,,,,,,,,,
I'm feeling stuck,I get that—it’s hard. Let’s talk it through and see what might help.,,,,,,,,,,,,,
I'm feeling stuck,"It’s okay to feel stuck. You’re not alone in this, and I’m here to help you navigate it.",,,,,,,,,,,,,
I'm feeling stuck,Thanks for sharing that. Let’s work together to get you unstuck.,,,,,,,,,,,,,
I'm feeling stuck,Feeling stuck can be overwhelming. Let’s talk it out and see what’s been holding you back.,,,,,,,,,,,,,
It’s been a tough day,I’m sorry to hear that. Want to talk about what made it tough?,,,,,,,,,,,,,
It’s been a tough day,That sounds exhausting. I’m here if you want to share.,,,,,,,,,,,,,
It’s been a tough day,I hear you—some days just feel heavier than others. Let’s talk about it,,,,,,,,,,,,,
It’s been a tough day,I’m really sorry you had a tough day. What happened?,,,,,,,,,,,,,
It’s been a tough day,Sometimes days just don’t go as we hope. I’m here if you need to vent or chat.,,,,,,,,,,,,,
It’s been a tough day,That’s rough. I’m here for you—let me know how I can help.,,,,,,,,,,,,,
It’s been a tough day,I’m sorry it’s been hard. Do you want to talk about it or just sit with it for a bit?,,,,,,,,,,,,,
It’s been a tough day,That sounds challenging. I’m here to listen if you want to share what’s on your mind.,,,,,,,,,,,,,
It’s been a tough day,Tough days can feel overwhelming. Let’s take it one step at a time—what’s been going on?,,,,,,,,,,,,,
It’s been a tough day,I’m sorry you’re feeling this way. Want to talk about what made it tough or find a way to unwind?,,,,,,,,,,,,,
I’m overwhelmed,I’m sorry you’re feeling this way. Want to talk about what’s making you feel overwhelmed?,,,,,,,,,,,,,
I’m overwhelmed,That’s a heavy feeling to carry. I’m here to help lighten the load if I can.,,,,,,,,,,,,,
I’m overwhelmed,I hear you. Let’s take a deep breath and figure out what’s going on.,,,,,,,,,,,,,
I’m overwhelmed,I’m sorry it’s so much right now. Let’s break it down together.,,,,,,,,,,,,,
I’m overwhelmed,Feeling overwhelmed is tough. I’m here—let’s talk it out.,,,,,,,,,,,,,
I’m overwhelmed,That’s a lot to deal with. What’s been going on? Maybe I can help.,,,,,,,,,,,,,
I’m overwhelmed,I’m here for you. Let’s take it one thing at a time and find a way through.,,,,,,,,,,,,,
I’m overwhelmed,I’m sorry it’s been so overwhelming. Want to share what’s been on your plate?,,,,,,,,,,,,,
I’m overwhelmed,You don’t have to face this alone. Let’s work through it together.,,,,,,,,,,,,,
I’m overwhelmed,I get that—it’s a lot to handle. Let me know how I can support you.,,,,,,,,,,,,,
Feeling off today,I’m sorry you’re feeling off. Want to talk about what’s on your mind?,,,,,,,,,,,,,
Feeling off today,That’s okay—it happens to all of us. Let’s chat if you feel like it.,,,,,,,,,,,,,
Feeling off today,I hear you. What’s been going on today?,,,,,,,,,,,,,
Feeling off today,I’m here for you. Want to share what’s been making you feel this way?,,,,,,,,,,,,,
Feeling off today,Sometimes days just feel off for no reason. I’m here if you want to talk about it.,,,,,,,,,,,,,
Feeling off today,I’m sorry it’s been one of those days. Let’s figure out what might help.,,,,,,,,,,,,,
Feeling off today,That’s tough—want to share what’s been making you feel this way?,,,,,,,,,,,,,
Feeling off today,I hear you. It’s okay to not feel 100%. Let’s work through it together.,,,,,,,,,,,,,
Feeling off today,Feeling off can be frustrating. I’m here to help if you want to talk it out.,,,,,,,,,,,,,
Feeling off today,It’s okay to feel off sometimes. Let me know if there’s anything I can do.,,,,,,,,,,,,,
Need some clarity,I’m here to help. What’s been on your mind?,,,,,,,,,,,,,
Need some clarity,Let’s figure this out together. What do you need clarity on?,,,,,,,,,,,,,
Need some clarity,I’ve got your back. Let’s work through it step by step.,,,,,,,,,,,,,
Need some clarity,"Absolutely, let’s clear things up. What’s feeling unclear right now?",,,,,,,,,,,,,
Need some clarity,"I’m here for you. Let me know what’s confusing, and we’ll sort it out.",,,,,,,,,,,,,
Need some clarity,That’s what I’m here for! Tell me what’s making you feel unsure.,,,,,,,,,,,,,
Need some clarity,I get that—it’s hard to move forward without clarity. Let’s talk it out.,,,,,,,,,,,,,
Need some clarity,Let’s get to the bottom of this. What’s been clouding your mind?,,,,,,,,,,,,,
Need some clarity,I’m here to help you see things more clearly. Where should we start?,,,,,,,,,,,,,
Need some clarity,"No problem, we’ll figure this out together. What’s been making you feel stuck?",,,,,,,,,,,,,
I feel uncertain,It’s okay to feel uncertain sometimes. Want to talk about what’s on your mind?,,,,,,,,,,,,,
I feel uncertain,I hear you—uncertainty can be tough. Let’s work through it together.,,,,,,,,,,,,,
I feel uncertain,That’s a hard feeling to sit with. What’s making you feel this way?,,,,,,,,,,,,,
I feel uncertain,I’m here for you. Let’s talk about what’s been making you feel uncertain.,,,,,,,,,,,,,
I feel uncertain,It’s normal to feel uncertain at times. Let me know how I can help.,,,,,,,,,,,,,
I feel uncertain,Uncertainty can feel heavy. Let’s break it down and see if we can find some clarity,,,,,,,,,,,,,
I feel uncertain,I understand—it’s not easy feeling unsure. Want to share what’s going on?,,,,,,,,,,,,,
I feel uncertain,I’m here to help you sort things out. What’s been making you feel uncertain?,,,,,,,,,,,,,
I feel uncertain,Feeling uncertain can be overwhelming. Let’s figure out the next step together.,,,,,,,,,,,,,
I feel uncertain,It’s okay to not have all the answers right now. I’m here to help you find your way.,,,,,,,,,,,,,
Can we talk things through?,"Of course, I’m here for you. What’s on your mind?",,,,,,,,,,,,,
Can we talk things through?,"Absolutely, let’s talk. Tell me what’s been going on",,,,,,,,,,,,,
Can we talk things through?,"Yes, let’s work through this together. Where do you want to start?",,,,,,,,,,,,,
Can we talk things through?,I’m here to listen. Let’s figure it out step by step,,,,,,,,,,,,,
Can we talk things through?,I’m here to listen. Let’s figure it out step by step,,,,,,,,,,,,,
Can we talk things through?,I’d be happy to. Tell me what’s been on your mind,,,,,,,,,,,,,
Can we talk things through?,"Of course, I’m here to help however I can. Let’s talk",,,,,,,,,,,,,
Can we talk things through?,"Yes, let’s talk it out. What’s been bothering you?",,,,,,,,,,,,,
Can we talk things through?,"Absolutely, we’ll figure it out together. What’s going on?",,,,,,,,,,,,,
Can we talk things through?,"Of course, let’s sort through it. Take your time to share what’s been happening.",,,,,,,,,,,,,
I feel confused,I’m sorry you’re feeling this way. Want to share what’s been confusing you?,,,,,,,,,,,,,
I feel confused,That’s a tough spot to be in. Let’s sort it out together.,,,,,,,,,,,,,
I feel confused,I hear you—confusion can be overwhelming. Let’s break it down step by step.,,,,,,,,,,,,,
I feel confused,It’s okay to feel confused sometimes. I’m here to help you figure things out.,,,,,,,,,,,,,
I feel confused,I understand. Let’s talk about what’s making you feel this way.,,,,,,,,,,,,,
I feel confused,Confusion happens to all of us. Let’s get some clarity together.,,,,,,,,,,,,,
I feel confused,I’m here for you. What’s been making you feel unsure?,,,,,,,,,,,,,
I feel confused,That’s not an easy feeling to deal with. Let’s figure out what’s going on.,,,,,,,,,,,,,
I feel confused,I’m sorry things feel unclear right now. Let’s work through it together.,,,,,,,,,,,,,
I feel confused,It’s okay to not have all the answers. Let’s talk it through and find some.,,,,,,,,,,,,,
I’m feeling low,I’m sorry you’re feeling this way. Want to talk about it?,,,,,,,,,,,,,
I’m feeling low,I hear you—it’s tough to feel low. I’m here if you need to share.,,,,,,,,,,,,,
I’m feeling low,I’m here for you. Let’s figure out what might help you feel a bit better.,,,,,,,,,,,,,
I’m feeling low,It’s okay to have low days. Let me know how I can support you.,,,,,,,,,,,,,
I’m feeling low,I’m sorry things feel heavy right now. Let’s work through it together.,,,,,,,,,,,,,
I’m feeling low,I get it—low days can be rough. Let’s talk about what’s on your mind.,,,,,,,,,,,,,
I’m feeling low,You’re not alone in this. I’m here to listen whenever you’re ready.,,,,,,,,,,,,,
I’m feeling low,"I’m here for you, no matter what. Take your time to share what’s going on.",,,,,,,,,,,,,
I’m feeling low,It’s okay to feel low sometimes. Let me know how I can help lighten the load.,,,,,,,,,,,,,
I’m feeling low,I’m sorry you’re feeling down. Let’s talk about what’s been going on.,,,,,,,,,,,,,
Just need a friend,"I’m here for you, no matter what. What’s on your mind?",,,,,,,,,,,,,
Just need a friend,You’ve got one right here. Let’s talk.,,,,,,,,,,,,,
Just need a friend,"I hear you, and I’m here. Let’s work through this together.",,,,,,,,,,,,,
Just need a friend,You’re not alone—I’ve got you. How can I help?,,,,,,,,,,,,,
Just need a friend,"I’m here to listen, support, and just be there. Let me know what’s going on.",,,,,,,,,,,,,
Just need a friend,Sometimes we all need a friend. I’m here for you.,,,,,,,,,,,,,
Just need a friend,I’ve got your back. What’s been weighing on you?,,,,,,,,,,,,,
Just need a friend,You can count on me. Let’s talk about what’s going on.,,,,,,,,,,,,,
Just need a friend,"I’m here for whatever you need, even if it’s just to listen.",,,,,,,,,,,,,
Just need a friend,A friend is exactly what I want to be for you right now. What’s up?,,,,,,,,,,,,,
Things are hard,I’m sorry you’re going through this. Let’s talk about it.,,,,,,,,,,,,,
Things are hard,That sounds really tough. I’m here for you.,,,,,,,,,,,,,
Things are hard,I hear you—hard times can be overwhelming. Let me help where I can.,,,,,,,,,,,,,
Things are hard,I’m here to listen. What’s been making things so difficult?,,,,,,,,,,,,,
Things are hard,I’m sorry things feel so hard right now. Let’s figure it out together.,,,,,,,,,,,,,
Things are hard,You don’t have to face this alone. I’m here to support you.,,,,,,,,,,,,,
Things are hard,It’s okay to feel this way. Let’s take it one step at a time.,,,,,,,,,,,,,
Things are hard,That sounds rough. Let me know how I can help you through it.,,,,,,,,,,,,,
Things are hard,I’m here for you. What’s been going on?,,,,,,,,,,,,,
Things are hard,"I know things are tough, but you’re not alone. Let’s talk about it",,,,,,,,,,,,,
Need a listening ear,I’m all ears. What’s on your mind?,,,,,,,,,,,,,
Need a listening ear,"I’m here for you. Let’s talk, whenever you’re ready",,,,,,,,,,,,,
Need a listening ear,You’ve got my full attention. Let me know what’s going on.,,,,,,,,,,,,,
Need a listening ear,I’m here to listen. What’s been weighing on you?,,,,,,,,,,,,,
Need a listening ear,"Of course, I’m here to listen. Take your time to share.",,,,,,,,,,,,,
Need a listening ear,"I’m all ears, just tell me what’s on your heart.",,,,,,,,,,,,,
Need a listening ear,You’re not alone in this. I’m here for whatever you need to say.,,,,,,,,,,,,,
Need a listening ear,"I’m here to listen, no rush. What’s been on your mind?",,,,,,,,,,,,,
Need a listening ear,I’m ready to listen whenever you need. Let me know how I can support you.,,,,,,,,,,,,,
Need a listening ear,"I’m here, and I’m listening. Feel free to share anything you need to.",,,,,,,,,,,,,
I’m stressed,I’m sorry you’re feeling this way. Want to talk about what’s stressing you out?,,,,,,,,,,,,,
I’m stressed,Stress can be tough. Let’s break it down and figure out what’s causing it.,,,,,,,,,,,,,
I’m stressed,I hear you—stress can feel overwhelming. How can I help?,,,,,,,,,,,,,
I’m stressed,That sounds hard. I’m here to listen if you need to vent.,,,,,,,,,,,,,
I’m stressed,It’s okay to feel stressed. Let’s talk about what’s on your mind.,,,,,,,,,,,,,
I’m stressed,Stress can pile up quickly. Want to share what’s been happening?,,,,,,,,,,,,,
I’m stressed,I’m here to help however I can. Let’s work through this together.,,,,,,,,,,,,,
I’m stressed,I know stress can feel heavy. Let’s talk through what’s going on.,,,,,,,,,,,,,
I’m stressed,I’m sorry things are feeling this way. Let’s see if we can take some of that weight off.,,,,,,,,,,,,,
I’m stressed,I understand—it’s tough to deal with stress. Let’s chat about what’s been bothering you.,,,,,,,,,,,,,
It’s been rough,I’m sorry to hear that. Want to talk about what’s been going on?,,,,,,,,,,,,,
It’s been rough,That sounds tough. I’m here for you—what’s been happening?,,,,,,,,,,,,,
It’s been rough,"Rough patches can feel endless, but I’m here to help however I can.",,,,,,,,,,,,,
It’s been rough,I hear you. Let’s talk about what’s making things feel this way.,,,,,,,,,,,,,
It’s been rough,I’m sorry you’re going through a rough time. You’re not alone in this,,,,,,,,,,,,,
It’s been rough,That’s hard to deal with. Let me know how I can support you.,,,,,,,,,,,,,
It’s been rough,I’m here for you. Want to share what’s been weighing on you?,,,,,,,,,,,,,
It’s been rough,Life can get really rough sometimes. Let’s figure this out together.,,,,,,,,,,,,,
It’s been rough,I’m sorry things have been tough. Let’s take it one step at a time.,,,,,,,,,,,,,
It’s been rough,"I’m here to listen. Whatever it is, we can get through it together.",,,,,,,,,,,,,
I need a hand,"Of course, I’m here to help. What do you need?",,,,,,,,,,,,,
I need a hand,You’ve got it. Let me know how I can support you.,,,,,,,,,,,,,
I need a hand,Absolutely. What’s going on?,,,,,,,,,,,,,
I need a hand,I’ve got your back. Just tell me what you need.,,,,,,,,,,,,,
